settlement_id,merchant_id,payment_id,account_id,settlement_amount,settlement_status,initiated_at,completed_at,bank_reference
SET0000077,MER000001,PAY0000219,ACC000001,67989,Completed,2025-03-11 07:11:00,2025-03-13 05:11:00,BNKREF10000076
SET0000078,MER000060,PAY0000103,ACC000060,17577,Completed,2025-07-24 07:58:00,2025-07-25 14:58:00,BNKREF10000077
SET0000079,MER000060,PAY0001368,ACC000060,80401,Completed,2025-06-27 17:38:00,2025-06-28 23:38:00,BNKREF10000078
SET0000080,MER000065,PAY0000874,ACC000065,59091,Completed,2025-07-15 14:57:00,2025-07-16 22:57:00,BNKREF10000079
SET0000081,MER000034,PAY0000507,ACC000034,82249,Completed,2025-10-14 08:49:00,2025-10-15 17:49:00,BNKREF10000080
SET0000082,MER000031,PAY0000563,ACC000031,44120,Completed,2025-03-26 02:45:00,2025-03-26 21:45:00,BNKREF10000081
SET0000083,MER000041,PAY0001107,ACC000041,20128,Completed,2024-03-23 04:09:00,2024-03-25 02:09:00,BNKREF10000082
SET0000084,MER000028,PAY0000132,ACC000028,8261,Completed,2025-02-28 13:21:00,2025-03-01 17:21:00,BNKREF10000083
SET0000085,MER000027,PAY0000861,ACC000027,75556,Initiated,2025-02-02 18:44:00,,
SET0000086,MER000049,PAY0000977,ACC000049,70645,Completed,2024-01-07 11:19:00,2024-01-08 15:19:00,BNKREF10000085
SET0000087,MER000070,PAY0001236,ACC000070,3904,Completed,2024-08-13 15:14:00,2024-08-15 00:14:00,BNKREF10000086
SET0000088,MER000050,PAY0000689,ACC000050,61361,Completed,2025-11-15 21:51:00,2025-11-16 09:51:00,BNKREF10000087
SET0000089,MER000017,PAY0001275,ACC000017,87000,Completed,2025-06-30 00:58:00,2025-07-01 14:58:00,BNKREF10000088
SET0000090,MER000004,PAY0000172,ACC000004,6690,Completed,2025-10-20 13:08:00,2025-10-21 02:08:00,BNKREF10000089
SET0000091,MER000034,PAY0000777,ACC000034,36571,Completed,2024-12-01 06:29:00,2024-12-02 08:29:00,BNKREF10000090
SET0000092,MER000054,PAY0000517,ACC000054,45970,Completed,2024-03-24 15:01:00,2024-03-24 20:01:00,BNKREF10000091
SET0000093,MER000029,PAY0001332,ACC000029,26230,Completed,2024-03-11 20:02:00,2024-03-12 13:02:00,BNKREF10000092
SET0000094,MER000003,PAY0001273,ACC000003,74020,Completed,2024-06-05 07:08:00,2024-06-05 16:08:00,BNKREF10000093
SET0000095,MER000028,PAY0000953,ACC000028,15112,Completed,2024-09-19 11:10:00,2024-09-21 10:10:00,BNKREF10000094
SET0000096,MER000021,PAY0000638,ACC000021,88881,Completed,2024-04-20 18:01:00,2024-04-22 08:01:00,BNKREF10000095
SET0000097,MER000049,PAY0000813,ACC000049,31930,Completed,2024-07-22 02:37:00,2024-07-23 20:37:00,BNKREF10000096
SET0000098,MER000014,PAY0001428,ACC000014,5483,Completed,2024-11-04 21:38:00,2024-11-06 11:38:00,BNKREF10000097
SET0000099,MER000045,PAY0001092,ACC000045,84974,Initiated,2025-03-14 21:23:00,,
SET0000100,MER000044,PAY0000026,ACC000044,83407,Completed,2025-03-06 15:06:00,2025-03-07 16:06:00,BNKREF10000099
SET0000101,MER000059,PAY0001449,ACC000059,35500,Completed,2024-06-05 13:11:00,2024-06-07 08:11:00,BNKREF10000100
SET0000102,MER000069,PAY0000991,ACC000069,42345,Completed,2025-04-21 13:52:00,2025-04-22 08:52:00,BNKREF10000101
SET0000103,MER000032,PAY0000178,ACC000032,80097,Completed,2024-10-12 14:15:00,2024-10-14 04:15:00,BNKREF10000102
SET0000104,MER000049,PAY0000689,ACC000049,27902,Completed,2024-01-30 15:54:00,2024-02-01 00:54:00,BNKREF10000103
SET0000105,MER000046,PAY0000530,ACC000046,72948,Completed,2024-12-14 08:56:00,2024-12-15 03:56:00,BNKREF10000104
SET0000106,MER000002,PAY0001059,ACC000002,72868,Completed,2024-07-14 02:15:00,2024-07-15 11:15:00,BNKREF10000105
SET0000107,MER000031,PAY0001415,ACC000031,12296,Completed,2025-05-02 20:45:00,2025-05-02 23:45:00,BNKREF10000106
SET0000108,MER000038,PAY0000454,ACC000038,48468,Completed,2025-02-18 22:15:00,2025-02-20 13:15:00,BNKREF10000107
SET0000109,MER000061,PAY0001134,ACC000061,43457,Failed,2025-06-27 11:27:00,2025-06-29 00:27:00,BNKREF10000108
SET0000110,MER000046,PAY0001440,ACC000046,94640,Completed,2025-04-09 08:19:00,2025-04-09 17:19:00,BNKREF10000109
SET0000111,MER000025,PAY0000647,ACC000025,24367,Failed,2024-05-02 23:34:00,2024-05-04 21:34:00,BNKREF10000110
SET0000112,MER000025,PAY0000444,ACC000025,78322,Completed,2025-05-10 08:46:00,2025-05-11 19:46:00,BNKREF10000111
SET0000113,MER000037,PAY0000206,ACC000037,1954,Completed,2024-07-17 09:14:00,2024-07-18 06:14:00,BNKREF10000112
SET0000114,MER000069,PAY0000260,ACC000069,16651,Completed,2024-10-07 01:03:00,2024-10-08 23:03:00,BNKREF10000113
SET0000115,MER000063,PAY0000211,ACC000063,44757,Completed,2024-01-13 18:18:00,2024-01-15 00:18:00,BNKREF10000114
SET0000116,MER000024,PAY0000106,ACC000024,64554,Completed,2024-09-15 15:07:00,2024-09-16 18:07:00,BNKREF10000115
SET0000117,MER000010,PAY0001182,ACC000010,39924,Completed,2025-10-06 21:03:00,2025-10-08 11:03:00,BNKREF10000116
SET0000118,MER000011,PAY0000509,ACC000011,81157,Completed,2024-05-01 17:48:00,2024-05-03 09:48:00,BNKREF10000117
SET0000119,MER000029,PAY0001071,ACC000029,56307,Completed,2025-01-24 14:58:00,2025-01-26 05:58:00,BNKREF10000118
SET0000120,MER000040,PAY0001165,ACC000040,27335,Failed,2025-09-27 01:39:00,2025-09-27 09:39:00,BNKREF10000119
SET0000121,MER000028,PAY0000542,ACC000028,9938,Completed,2025-11-07 02:10:00,2025-11-08 15:10:00,BNKREF10000120
SET0000122,MER000021,PAY0000006,ACC000021,4378,Completed,2025-02-22 14:44:00,2025-02-23 10:44:00,BNKREF10000121
SET0000123,MER000030,PAY0000591,ACC000030,30695,Completed,2024-10-16 22:55:00,2024-10-18 19:55:00,BNKREF10000122
SET0000124,MER000034,PAY0001281,ACC000034,15143,Completed,2025-08-26 21:51:00,2025-08-28 02:51:00,BNKREF10000123
SET0000125,MER000070,PAY0000461,ACC000070,9459,Completed,2025-10-25 04:58:00,2025-10-25 15:58:00,BNKREF10000124
SET0000126,MER000008,PAY0000340,ACC000008,57660,Completed,2024-11-10 19:47:00,2024-11-11 15:47:00,BNKREF10000125
SET0000127,MER000016,PAY0000960,ACC000016,70876,Completed,2024-11-07 22:25:00,2024-11-09 08:25:00,BNKREF10000126
SET0000128,MER000064,PAY0000897,ACC000064,79229,Completed,2024-03-23 19:02:00,2024-03-24 17:02:00,BNKREF10000127
SET0000129,MER000033,PAY0000053,ACC000033,77055,Completed,2024-04-03 07:43:00,2024-04-04 21:43:00,BNKREF10000128
SET0000130,MER000003,PAY0001377,ACC000003,61769,Completed,2024-10-02 18:02:00,2024-10-03 07:02:00,BNKREF10000129
SET0000131,MER000067,PAY0001335,ACC000067,83302,Failed,2025-03-28 08:11:00,2025-03-29 13:11:00,BNKREF10000130
SET0000132,MER000063,PAY0000187,ACC000063,13810,Completed,2025-04-26 11:26:00,2025-04-28 07:26:00,BNKREF10000131
SET0000133,MER000021,PAY0000676,ACC000021,99780,Completed,2025-02-25 22:31:00,2025-02-27 01:31:00,BNKREF10000132
SET0000134,MER000005,PAY0000932,ACC000005,67549,Completed,2024-03-31 10:16:00,2024-04-01 13:16:00,BNKREF10000133
SET0000135,MER000001,PAY0001347,ACC000001,68052,Initiated,2025-07-09 14:26:00,,
SET0000136,MER000047,PAY0001276,ACC000047,35103,Completed,2025-05-25 20:28:00,2025-05-26 11:28:00,BNKREF10000135
SET0000137,MER000017,PAY0000590,ACC000017,82678,Initiated,2025-03-24 22:31:00,,
SET0000138,MER000031,PAY0001454,ACC000031,53576,Initiated,2024-06-11 09:35:00,,
SET0000139,MER000012,PAY0000461,ACC000012,65423,Completed,2024-04-26 14:07:00,2024-04-27 01:07:00,BNKREF10000138
SET0000140,MER000038,PAY0001043,ACC000038,32046,Completed,2024-10-06 13:53:00,2024-10-07 21:53:00,BNKREF10000139
SET0000141,MER000059,PAY0001129,ACC000059,97918,Completed,2024-05-28 12:12:00,2024-05-29 22:12:00,BNKREF10000140
SET0000142,MER000018,PAY0000143,ACC000018,35118,Completed,2024-10-09 13:21:00,2024-10-10 23:21:00,BNKREF10000141
SET0000143,MER000001,PAY0000580,ACC000001,19576,Failed,2024-11-01 18:37:00,2024-11-03 03:37:00,BNKREF10000142
SET0000144,MER000058,PAY0001104,ACC000058,49541,Completed,2025-05-10 11:21:00,2025-05-11 23:21:00,BNKREF10000143
SET0000145,MER000059,PAY0000660,ACC000059,53941,Completed,2024-07-12 22:15:00,2024-07-13 14:15:00,BNKREF10000144
SET0000146,MER000006,PAY0000652,ACC000006,87091,Completed,2025-04-29 22:58:00,2025-05-01 00:58:00,BNKREF10000145
SET0000147,MER000020,PAY0001015,ACC000020,13254,Failed,2024-02-07 04:32:00,2024-02-08 03:32:00,BNKREF10000146
SET0000148,MER000057,PAY0000205,ACC000057,85923,Completed,2025-06-22 14:00:00,2025-06-23 18:00:00,BNKREF10000147
SET0000149,MER000020,PAY0000154,ACC000020,85275,Completed,2025-04-25 08:21:00,2025-04-26 11:21:00,BNKREF10000148
SET0000150,MER000011,PAY0000673,ACC000011,94303,Failed,2025-11-21 17:24:00,2025-11-23 11:24:00,BNKREF10000149
SET0000151,MER000063,PAY0001109,ACC000063,37767,Completed,2024-02-06 19:04:00,2024-02-08 16:04:00,BNKREF10000150
SET0000152,MER000030,PAY0000186,ACC000030,58253,Completed,2025-03-20 03:48:00,2025-03-20 11:48:00,BNKREF10000151
SET0000153,MER000022,PAY0001422,ACC000022,38552,Completed,2024-11-02 00:02:00,2024-11-02 05:02:00,BNKREF10000152
SET0000154,MER000046,PAY0000768,ACC000046,89464,Completed,2025-03-17 04:15:00,2025-03-18 18:15:00,BNKREF10000153
SET0000155,MER000024,PAY0000349,ACC000024,89639,Completed,2024-06-28 02:39:00,2024-06-29 19:39:00,BNKREF10000154
SET0000156,MER000031,PAY0001020,ACC000031,60336,Completed,2025-08-20 04:14:00,2025-08-20 22:14:00,BNKREF10000155
SET0000157,MER000033,PAY0001366,ACC000033,20806,Completed,2024-01-10 14:57:00,2024-01-12 02:57:00,BNKREF10000156
SET0000158,MER000010,PAY0000905,ACC000010,90580,Completed,2024-12-19 18:19:00,2024-12-20 23:19:00,BNKREF10000157
SET0000159,MER000033,PAY0000936,ACC000033,31191,Completed,2024-11-05 06:24:00,2024-11-05 14:24:00,BNKREF10000158
SET0000160,MER000049,PAY0001172,ACC000049,2975,Failed,2025-01-02 18:18:00,2025-01-03 14:18:00,BNKREF10000159
SET0000161,MER000051,PAY0000563,ACC000051,79582,Completed,2024-01-09 18:55:00,2024-01-09 23:55:00,BNKREF10000160
SET0000162,MER000064,PAY0000587,ACC000064,25020,Completed,2024-08-23 19:51:00,2024-08-25 13:51:00,BNKREF10000161
SET0000163,MER000033,PAY0001389,ACC000033,12835,Initiated,2025-11-06 21:53:00,,
SET0000164,MER000006,PAY0000633,ACC000006,11913,Completed,2025-03-27 01:37:00,2025-03-27 11:37:00,BNKREF10000163
SET0000165,MER000038,PAY0000670,ACC000038,70801,Initiated,2025-03-01 05:12:00,,
SET0000166,MER000047,PAY0001088,ACC000047,38784,Completed,2025-05-28 08:53:00,2025-05-29 16:53:00,BNKREF10000165
SET0000167,MER000044,PAY0000236,ACC000044,88747,Completed,2025-04-24 02:09:00,2025-04-24 18:09:00,BNKREF10000166
SET0000168,MER000051,PAY0001142,ACC000051,70429,Completed,2025-01-09 02:50:00,2025-01-09 20:50:00,BNKREF10000167
SET0000169,MER000016,PAY0000932,ACC000016,50041,Completed,2025-01-12 21:47:00,2025-01-14 12:47:00,BNKREF10000168
SET0000170,MER000048,PAY0000222,ACC000048,73684,Initiated,2025-11-22 07:30:00,,
SET0000171,MER000042,PAY0001250,ACC000042,91991,Completed,2024-08-14 20:04:00,2024-08-16 03:04:00,BNKREF10000170
SET0000172,MER000039,PAY0001330,ACC000039,4977,Initiated,2025-02-22 03:08:00,,
SET0000173,MER000039,PAY0001009,ACC000039,51040,Completed,2024-04-28 03:15:00,2024-04-28 13:15:00,BNKREF10000172
SET0000174,MER000059,PAY0000760,ACC000059,77083,Completed,2025-11-17 23:44:00,2025-11-19 03:44:00,BNKREF10000173
SET0000175,MER000020,PAY0000850,ACC000020,36766,Completed,2025-11-01 03:53:00,2025-11-02 07:53:00,BNKREF10000174
SET0000176,MER000005,PAY0001414,ACC000005,47637,Completed,2025-01-14 06:28:00,2025-01-14 23:28:00,BNKREF10000175
SET0000177,MER000013,PAY0001405,ACC000013,8036,Failed,2025-01-11 17:57:00,2025-01-12 17:57:00,BNKREF10000176
SET0000178,MER000051,PAY0000566,ACC000051,86970,Completed,2024-07-13 03:54:00,2024-07-13 10:54:00,BNKREF10000177
SET0000179,MER000028,PAY0001315,ACC000028,43813,Initiated,2025-10-16 19:01:00,,
SET0000180,MER000032,PAY0000258,ACC000032,27252,Completed,2025-08-01 06:04:00,2025-08-02 19:04:00,BNKREF10000179
SET0000181,MER000028,PAY0000478,ACC000028,36442,Completed,2024-12-02 04:50:00,2024-12-02 06:50:00,BNKREF10000180
SET0000182,MER000019,PAY0000267,ACC000019,3479,Completed,2025-07-07 08:51:00,2025-07-09 04:51:00,BNKREF10000181
SET0000183,MER000017,PAY0000031,ACC000017,34882,Completed,2025-01-01 07:37:00,2025-01-01 20:37:00,BNKREF10000182
SET0000184,MER000007,PAY0000260,ACC000007,58856,Completed,2025-03-07 16:07:00,2025-03-09 00:07:00,BNKREF10000183
SET0000185,MER000047,PAY0001052,ACC000047,5783,Completed,2025-08-30 03:28:00,2025-08-31 20:28:00,BNKREF10000184
SET0000186,MER000067,PAY0000618,ACC000067,62881,Initiated,2025-04-14 20:01:00,,
SET0000187,MER000052,PAY0000874,ACC000052,10689,Completed,2024-04-20 15:45:00,2024-04-20 21:45:00,BNKREF10000186
SET0000188,MER000042,PAY0001246,ACC000042,76824,Completed,2024-05-31 02:08:00,2024-06-01 20:08:00,BNKREF10000187
SET0000189,MER000042,PAY0000781,ACC000042,56487,Completed,2025-09-03 16:18:00,2025-09-05 08:18:00,BNKREF10000188
SET0000190,MER000013,PAY0001438,ACC000013,94581,Completed,2024-04-27 20:41:00,2024-04-29 09:41:00,BNKREF10000189
SET0000191,MER000028,PAY0000881,ACC000028,52362,Completed,2025-04-07 07:26:00,2025-04-08 14:26:00,BNKREF10000190
SET0000192,MER000054,PAY0001495,ACC000054,49160,Completed,2024-04-07 10:27:00,2024-04-08 04:27:00,BNKREF10000191
SET0000193,MER000020,PAY0001407,ACC000020,56706,Completed,2025-04-30 02:05:00,2025-04-30 09:05:00,BNKREF10000192
SET0000194,MER000013,PAY0000764,ACC000013,73720,Completed,2024-05-13 17:03:00,2024-05-15 06:03:00,BNKREF10000193
SET0000195,MER000043,PAY0001373,ACC000043,94610,Completed,2024-05-05 13:22:00,2024-05-06 18:22:00,BNKREF10000194
SET0000196,MER000007,PAY0000590,ACC000007,66607,Initiated,2025-09-06 09:22:00,,
SET0000197,MER000028,PAY0000317,ACC000028,73010,Completed,2025-11-03 15:14:00,2025-11-04 15:14:00,BNKREF10000196
SET0000198,MER000048,PAY0000236,ACC000048,81590,Completed,2024-10-12 18:14:00,2024-10-14 07:14:00,BNKREF10000197
SET0000199,MER000004,PAY0001248,ACC000004,35918,Initiated,2025-11-04 22:17:00,,
SET0000200,MER000040,PAY0000696,ACC000040,86259,Completed,2024-12-25 00:11:00,2024-12-26 14:11:00,BNKREF10000199
SET0000201,MER000052,PAY0000143,ACC000052,97894,Failed,2024-05-25 23:40:00,2024-05-26 06:40:00,BNKREF10000200
SET0000202,MER000068,PAY0000441,ACC000068,40946,Completed,2025-01-20 13:29:00,2025-01-21 14:29:00,BNKREF10000201
SET0000203,MER000042,PAY0001163,ACC000042,20732,Initiated,2025-09-02 02:56:00,,
SET0000204,MER000007,PAY0001381,ACC000007,79670,Completed,2024-03-24 08:28:00,2024-03-25 17:28:00,BNKREF10000203
SET0000205,MER000057,PAY0000849,ACC000057,56449,Completed,2024-10-06 06:48:00,2024-10-07 06:48:00,BNKREF10000204
SET0000206,MER000015,PAY0000581,ACC000015,40525,Completed,2025-11-25 21:37:00,2025-11-27 17:37:00,BNKREF10000205
SET0000207,MER000006,PAY0000452,ACC000006,39607,Initiated,2025-02-08 19:03:00,,
SET0000208,MER000028,PAY0000282,ACC000028,65293,Initiated,2024-09-18 09:20:00,,
SET0000209,MER000056,PAY0000360,ACC000056,73333,Completed,2024-05-12 12:34:00,2024-05-13 22:34:00,BNKREF10000208
SET0000210,MER000046,PAY0000148,ACC000046,10305,Completed,2025-02-10 23:02:00,2025-02-12 06:02:00,BNKREF10000209
SET0000211,MER000041,PAY0001180,ACC000041,38047,Completed,2025-03-15 18:25:00,2025-03-16 22:25:00,BNKREF10000210
SET0000212,MER000015,PAY0000830,ACC000015,60405,Completed,2024-01-22 10:10:00,2024-01-24 03:10:00,BNKREF10000211
SET0000213,MER000047,PAY0000181,ACC000047,68776,Completed,2025-03-23 03:15:00,2025-03-24 06:15:00,BNKREF10000212
SET0000214,MER000011,PAY0000811,ACC000011,10111,Completed,2024-11-13 23:21:00,2024-11-14 11:21:00,BNKREF10000213
SET0000215,MER000066,PAY0001297,ACC000066,46119,Completed,2024-04-26 16:32:00,2024-04-27 16:32:00,BNKREF10000214
SET0000216,MER000019,PAY0000484,ACC000019,20136,Completed,2024-04-15 04:16:00,2024-04-16 20:16:00,BNKREF10000215
SET0000217,MER000010,PAY0000363,ACC000010,58938,Completed,2025-10-05 15:29:00,2025-10-07 06:29:00,BNKREF10000216
