merchant_id,merchant_name,business_type,industry,email,phone,city,state,country,onboarding_date,verification_status,risk_level,settlement_cycle,created_at,updated_at
MER000053,StreamWave Media 3 Pvt Ltd,Partnership,Entertainment,finance53@streamwavemedia.com,+916693989311,Ahmedabad,Gujarat,India,2023-05-14,Verified,Low,T+1,2023-05-14 00:00:00,2023-05-14 00:00:00
MER000054,GreenLeaf Retail 3 Pvt Ltd,LLP,Retail,finance54@greenleafretail.com,+918343292475,Kolkata,West Bengal,India,2023-03-19,Verified,Low,T+1,2023-03-19 00:00:00,2023-03-19 00:00:00
MER000055,CargoLink 3 Pvt Ltd,Private Limited,Logistics,finance55@cargolink.com,+917323959527,Mumbai,Maharashtra,India,2023-05-11,Verified,Low,T+1,2023-05-11 00:00:00,2023-05-11 00:00:00
MER000056,MediPulse 3 Pvt Ltd,LLP,Healthcare,finance56@medipulse.com,+918929454134,Chennai,Tamil Nadu,India,2024-01-02,Verified,Medium,T+2,2024-01-02 00:00:00,2024-01-02 00:00:00
MER000057,SkillForge 3 Pvt Ltd,Sole Proprietorship,Education,finance57@skillforge.com,+918665720874,Pune,Maharashtra,India,2025-06-14,Verified,Low,T+1,2025-06-14 00:00:00,2025-06-14 00:00:00
MER000058,PrimeCommerce 3 Pvt Ltd,LLP,E-Commerce,finance58@primecommerce.com,+919785653776,Hyderabad,Telangana,India,2025-03-30,Pending,Low,T+1,2025-03-30 00:00:00,2025-03-30 00:00:00
MER000059,FoodSprint 3 Pvt Ltd,LLP,Food Delivery,finance59@foodsprint.com,+917145921803,Ahmedabad,Gujarat,India,2024-02-26,Verified,Low,T+1,2024-02-26 00:00:00,2024-02-26 00:00:00
MER000060,BluePeak Tech 3 Pvt Ltd,Sole Proprietorship,SaaS,finance60@bluepeaktech.com,+916955345537,Hyderabad,Telangana,India,2025-05-29,Verified,Low,T+2,2025-05-29 00:00:00,2025-05-29 00:00:00
MER000061,Acme Retail 4 Pvt Ltd,LLP,Retail,finance61@acmeretail.com,+916957449367,Pune,Maharashtra,India,2025-03-25,Verified,Low,T+1,2025-03-25 00:00:00,2025-03-25 00:00:00
MER000062,NovaPay Technologies 4 Pvt Ltd,Partnership,FinTech,finance62@novapaytech.com,+917508161137,Mumbai,Maharashtra,India,2023-03-13,Verified,Low,T+1,2023-03-13 00:00:00,2023-03-13 00:00:00
MER000063,QuickCart Commerce 4 Pvt Ltd,Private Limited,E-Commerce,finance63@quickcartcommerce.com,+919766851291,Jaipur,Rajasthan,India,2023-01-29,Verified,High,T+1,2023-01-29 00:00:00,2023-01-29 00:00:00
MER000064,UrbanNest Realty 4 Pvt Ltd,Public Limited,Real Estate,finance64@urbannestrealty.com,+917866437132,Delhi,Delhi,India,2023-04-22,Verified,High,T+1,2023-04-22 00:00:00,2023-04-22 00:00:00
MER000065,SwiftLog Logistics 4 Pvt Ltd,Private Limited,Logistics,finance65@swiftloglogistics.com,+917654401763,Chennai,Tamil Nadu,India,2024-06-07,Verified,Low,T+1,2024-06-07 00:00:00,2024-06-07 00:00:00
MER000066,HealthBridge Care 4 Pvt Ltd,Public Limited,Healthcare,finance66@healthbridgecare.com,+918950028965,Kochi,Kerala,India,2024-06-16,Verified,Low,T+1,2024-06-16 00:00:00,2024-06-16 00:00:00
MER000067,LearnSphere Education 4 Pvt Ltd,Public Limited,Education,finance67@learnsphereeducation.com,+917348257414,Pune,Maharashtra,India,2023-12-05,Verified,Low,T+1,2023-12-05 00:00:00,2023-12-05 00:00:00
MER000068,FinCore Solutions 4 Pvt Ltd,Partnership,FinTech,finance68@fincoresolutions.com,+917728296502,Bengaluru,Karnataka,India,2024-02-23,Verified,Low,T+1,2024-02-23 00:00:00,2024-02-23 00:00:00
MER000069,CloudAxis SaaS 4 Pvt Ltd,LLP,SaaS,finance69@cloudaxissaas.com,+918643616431,Delhi,Delhi,India,2024-01-24,Verified,Low,T+1,2024-01-24 00:00:00,2024-01-24 00:00:00
MER000070,FreshBasket Foods 4 Pvt Ltd,LLP,Food Delivery,finance70@freshbasketfoods.com,+917846355528,Kochi,Kerala,India,2023-10-21,Verified,Low,T+1,2023-10-21 00:00:00,2023-10-21 00:00:00
